source,target,type,weight
症状_0,证型_8,关联,1.0
症状_1,证型_8,关联,0.5
症状_2,证型_8,关联,0.5
症状_3,证型_8,关联,0.5
症状_4,证型_8,关联,0.5
症状_5,证型_8,关联,0.5
症状_6,证型_8,关联,0.5
症状_7,证型_8,关联,0.5
证型_8,方剂_9,治疗,1.0
方剂_9,中药_10,包含,1.0
方剂_9,中药_11,包含,1.0
方剂_9,中药_12,包含,1.0
方剂_9,中药_13,包含,1.0
方剂_9,中药_14,包含,1.0
方剂_9,中药_15,包含,1.0
方剂_9,中药_16,包含,1.0
方剂_9,中药_17,包含,1.0
方剂_9,中药_18,包含,1.0
方剂_9,中药_19,包含,1.0
方剂_9,中药_20,包含,1.0
方剂_9,中药_21,包含,1.0
方剂_9,中药_22,包含,1.0
方剂_9,中药_23,包含,1.0
症状_24,方剂_36,治疗,1.0
症状_25,方剂_36,治疗,1.0
方剂_36,中药_37,包含,1.0
方剂_36,中药_12,包含,1.0
方剂_36,中药_38,包含,1.0
方剂_36,中药_11,包含,1.0
方剂_36,中药_15,包含,1.0
方剂_36,中药_16,包含,1.0
症状_39,方剂_71,治疗,1.0
症状_3,方剂_71,治疗,1.0
症状_40,方剂_71,治疗,1.0
方剂_71,中药_12,包含,1.0
方剂_71,中药_11,包含,1.0
方剂_71,中药_15,包含,1.0
方剂_71,中药_13,包含,1.0
方剂_71,中药_37,包含,1.0
方剂_71,中药_38,包含,1.0
方剂_71,中药_16,包含,1.0
症状_27,证型_86,关联,1.0
症状_72,证型_86,关联,0.5
症状_73,证型_86,关联,0.5
症状_74,证型_86,关联,0.5
症状_75,证型_86,关联,0.5
症状_76,证型_86,关联,0.5
症状_49,证型_86,关联,0.5
症状_77,证型_86,关联,0.5
症状_78,证型_86,关联,0.5
症状_79,证型_86,关联,0.5
症状_80,证型_86,关联,0.5
症状_81,证型_86,关联,0.5
症状_82,证型_86,关联,0.5
症状_83,证型_86,关联,0.5
症状_84,证型_86,关联,0.5
症状_66,证型_86,关联,0.5
症状_64,证型_86,关联,0.5
症状_85,证型_86,关联,0.5
证型_86,方剂_87,治疗,1.0
方剂_87,中药_10,包含,1.0
方剂_87,中药_11,包含,1.0
方剂_87,中药_88,包含,1.0
方剂_87,中药_13,包含,1.0
方剂_87,中药_37,包含,1.0
方剂_87,中药_89,包含,1.0
方剂_87,中药_90,包含,1.0
方剂_87,中药_91,包含,1.0
方剂_87,中药_92,包含,1.0
方剂_87,中药_18,包含,1.0
方剂_87,中药_93,包含,1.0
方剂_87,中药_15,包含,1.0
方剂_87,中药_16,包含,1.0
方剂_87,中药_94,包含,1.0
方剂_87,中药_95,包含,1.0
症状_96,证型_107,关联,1.0
症状_97,证型_107,关联,1.0
症状_98,证型_107,关联,1.0
症状_99,证型_107,关联,0.5
症状_100,证型_107,关联,0.5
症状_77,证型_107,关联,0.5
症状_101,证型_107,关联,0.5
症状_102,证型_107,关联,0.5
症状_103,证型_107,关联,0.5
症状_104,证型_107,关联,0.5
症状_105,证型_107,关联,0.5
症状_106,证型_107,关联,0.5
症状_68,证型_107,关联,0.5
症状_62,证型_107,关联,0.5
证型_107,方剂_108,治疗,1.0
方剂_108,中药_38,包含,1.0
方剂_108,中药_11,包含,1.0
方剂_108,中药_91,包含,1.0
方剂_108,中药_109,包含,1.0
